,Country,GDI 2015,HDI 2015,Average suicide 2015,democracy,government,political_violence
0,Norway,0.996,0.947,10.6,1.0,Parliamentary Democracy,-0.3609529
1,Australia,0.976,0.938,11.8,1.0,Parliamentary Democracy,-0.36443883
2,Switzerland,0.95,0.947,10.5,1.0,Parliamentary Democracy,-0.36112186
3,Denmark,0.977,0.933,8.1,1.0,Parliamentary Democracy,-0.36424163
4,Netherlands,0.947,0.934,9.3,1.0,Parliamentary Democracy,-0.36315224
5,Germany,0.963,0.938,9.0,1.0,Parliamentary Democracy,-0.35523465
6,Ireland,0.973,0.935,8.7,1.0,Parliamentary Democracy,-0.36019123
7,Canada,0.982,0.921,11.2,1.0,Parliamentary Democracy,-0.3483454
8,New Zealand,0.961,0.921,11.1,1.0,Parliamentary Democracy,-0.36424732
9,Singapore,0.985,0.931,7.6,0.0,Dominant Party,-0.36402023
10,Sweden,0.999,0.938,13.0,1.0,Parliamentary Democracy,-0.3636597
11,Iceland,0.975,0.934,13.2,1.0,Parliamentary Democracy,-0.36428955
12,Israel,0.971,0.91,4.5,1.0,Parliamentary Democracy,0.0
13,Luxembourg,0.971,0.906,9.6,1.0,Parliamentary Democracy,-0.36428955
14,Japan,0.961,0.908,14.9,1.0,Parliamentary Democracy,-0.36333275
15,Belgium,0.975,0.922,14.4,1.0,Parliamentary Democracy,-0.33392093
16,France,0.987,0.895,11.5,1.0,Presidential Democracy,-0.21529666
17,Austria,0.943,0.915,11.4,1.0,Parliamentary Democracy,-0.36357394
18,Finland,0.996,0.93,12.1,1.0,Parliamentary Democracy,-0.36382496
19,Slovenia,0.996,0.894,14.8,1.0,Parliamentary Democracy,-0.36418656
20,Spain,0.975,0.895,5.6,1.0,Parliamentary Democracy,-0.30955505
21,Italy,0.964,0.882,4.8,1.0,Parliamentary Democracy,-0.35623568
22,Greece,0.961,0.877,3.8,1.0,Parliamentary Democracy,-0.2765236
23,Estonia,1.03,0.877,13.4,1.0,Parliamentary Democracy,-0.36398056
24,Cyprus,0.971,0.865,4.2,0.0,Foreign/Occupied,-0.35982913
25,Qatar,0.998,0.839,4.9,0.0,Monarchy,-0.36386588
26,Slovakia,0.999,0.85,9.8,1.0,Parliamentary Democracy,-0.36382312
27,Poland,1.007,0.863,13.2,1.0,Presidential Democracy,-0.36395925
28,Lithuania,1.03,0.862,28.9,1.0,Parliamentary Democracy,-0.36419004
29,Malta,0.937,0.88,6.6,1.0,Parliamentary Democracy,-0.36382192
30,Saudi Arabia,0.901,0.859,6.0,0.0,Monarchy,-0.32252997
31,Argentina,0.982,0.84,8.1,1.0,Presidential Democracy,-0.34919688
32,United Arab Emirates,0.954,0.859,5.3,0.0,Monarchy,-0.35684127
33,Chile,0.967,0.842,9.2,1.0,Presidential Democracy,-0.3595031
34,Portugal,0.985,0.854,8.3,1.0,Presidential Democracy,-0.36421564
35,Hungary,0.976,0.842,14.6,0.0,Dominant Party,-0.36402562
36,Bahrain,0.94,0.848,6.3,0.0,Monarchy,-0.35800064
37,Latvia,1.029,0.849,17.1,1.0,Parliamentary Democracy,-0.36409053
38,Croatia,0.987,0.84,12.2,1.0,Parliamentary Democracy,-0.34104368
39,Kuwait,0.972,0.801,2.4,0.0,Monarchy,-0.35659778
40,Montenegro,0.954,0.816,16.3,1.0,Parliamentary Democracy,-0.36418083
41,Belarus,1.021,0.814,19.6,0.0,Personal Dictatorship,-0.3628476
42,Oman,0.909,0.814,4.7,0.0,Monarchy,-0.36146832
43,Uruguay,1.018,0.806,16.7,1.0,Presidential Democracy,-0.3621181
44,Kazakhstan,1.002,0.806,23.4,0.0,Personal Dictatorship,-0.36040887
45,Barbados,1.018,0.809,0.3,1.0,Parliamentary Democracy,-0.36011967
46,Bulgaria,0.991,0.809,6.8,1.0,Parliamentary Democracy,-0.36310694
47,Panama,0.996,0.799,3.0,1.0,Presidential Democracy,-0.3582581
48,Malaysia,0.947,0.796,5.2,1.0,Parliamentary Democracy,-0.33789346
49,Mauritius,0.95,0.789,7.5,1.0,Parliamentary Democracy,-0.36428955
50,Trinidad and Tobago,0.985,0.792,9.5,1.0,Parliamentary Democracy,-0.36153638
51,Serbia,0.966,0.789,11.7,1.0,Parliamentary Democracy,-0.0941459
52,Cuba,0.954,0.772,10.4,0.0,Party-Personal,-0.2795582
53,Lebanon,0.899,0.744,2.9,1.0,Parliamentary Democracy,-0.024284594
54,Costa Rica,0.974,0.797,6.4,1.0,Presidential Democracy,-0.36381397
